Antibióticos,Tratamento de:,Sintomas:
Levofloxacina,Sinusite aguda; Pneumonia; Impetigo; Abscessos na pele; Furúnculo; Celulite bacteriana; Erisipela; Osteomielite; Infecções do trato urinário; Infecções intra-abdominais; Infecção generalizada ou sepse.,Sintomas
Ceftriaxona,"Sepse; Meningite; Infecções abdominais; Infecções dos ossos ou articulações; Pneumonia; Infecções da pele, ossos, articulaçoes e tecidos moles; Infecções renais e do trato urinário; Infecções resratórias; Gonorreia",
Clindamicina,Infecção respiratório; Infecção da pele e de tecidos moles; Infecção abdominal;,
Sulfametoxazol + Trimetoprim,Pneumonia; Infecção urinária; Cistite; Pielonefrite; Bronquite; Shigelose; Diarréia do viajante; Granuloma inguinal; Meningite; Toxoplasmose ,
Cefuroxima/Sodium,Bronquite; Infecão urinária; Pneumonia; Faringite e amigdalite; Infecção grave; Infecção urinária; Meningite,
Cefepime,Infecções do trato respiratório; Pneumonia; Bronquite; Infecções do trato urinário; Infecções de pele; Infecções intra-abdominais; Infecções ginecológicas; Septicemia; ,
Fluconazol,"Pé de atleta, Micoses",
Vancomicina,"Infecções nos ossos, pulmões, pele, músculos e coração; Pneumonia; Osteomielite Endocardite",
Ofloxacina,Infecções respiratórias; Infecções abdomináis; Infecções nas vias urinárias; Infecções nas vias genitais,
Micafungina,Candidíase invasiva; Candidíase esofágica; Profilaxia,
Voriconazol,"Aspergilose invasiva, Candidemia, Candidíase esofágica",
Penicilina,Amigdalite; Sinusites; Escarlatina; Erisipela; Pneumonia leve; Infecções de ouvido; Prevenção de febre reumática; Prevenção de endocardite bacteriana,
Penicilina - Meningites,Amigdalite; Sinusites; Escarlatina; Erisipela; Pneumonia leve; Infecções de ouvido; Prevenção de febre reumática; Prevenção de endocardite bacteriana,
Anfotericina B,Candidíase disseminada; Septicemia fúngica; Criptococose; Blastomicose; Coccidiodomicose; Histoplamose; Mucormicose; Leishmaniose cutânea ou visceral; Zigomicose,
Eritromicina,Pneumonia; Coqueluche; Conjuntivite; Bronquite; Infecções de pele; Uretrite; Cervicite; Proctite; Enterocolite; Acne vulgar; Linfogranuloma venéreo,
Ciprofloxacina,Infecções oftalmológicas; Infecções respiratórias; Infecções genitais; Infecções urinárias; Infecções abdominais; Infecções da pele,
Penicilina - Outros Materiais,Amigdalite; Sinusites; Escarlatina; Erisipela; Pneumonia leve; Infecções de ouvido; Prevenção de febre reumática; Prevenção de endocardite bacteriana,
Oxacilina,Infecções oftalmológicas; Infecções respiratórias; Infecções genitais; Infecções urinárias; Infecções abdominais; Infecções da pele,
Meropenem,"'Infecção da pele e dos tecidos mortos','Infecção intra-abdominal','Meningite'",
Ceftazidima,"'Infecção por um germe','Infecção no Pulmão','Infecção no ouvido','Infecção no nariz','Infecção na garganta','Infecção sistema urinário','Infecção no abdome','Infecção na vesícula biliar','Infecção nos ossos e articulações','Meningite'",
Amicacina,"Pneumonia', 'Septicemia bacteriana', 'Infecção de pele e dos tecidos mortos', 'Infecções graves', 'Infecções do trato respiratório','Infecção urinária','Infecção das peles e tecidos mortos'",
Imipenem,"Infecções graves', 'Infecções do trato respiratório', 'Infecção articular','Infecção da pele e dos tecidos moles', 'Infecção Intra-abdominal','Infecção óssea','Pneumonia', 'Infecção pélvica', 'Infecção Urinária'",
Ceftriaxona - Meningites,"Meningites bacteriana','Sepse','Infecções abdominais', 'Infecções dos ossos ou articulações','Pneumonia','Infecções da pele','Infecções renais','Gonorreia'",
Ceftriaxona - Outros Materiais,'Infecções bacterianas',
Penicilina - Oral,Amigdalite; Sinusites; Escarlatina; Erisipela; Pneumonia leve; Infecções de ouvido; Prevenção de febre reumática; Prevenção de endocardite bacteriana,
Ertapenem,"Infecções graves', 'Infecções do trato respiratório','Infecções intra-abdominal', 'Pneumonia','Infecções de pele','Infecçõse pélvicas'",
Gentamicina,"Infecções graves', 'Infecções do trato urinário','Infecções na pele','Infecções abdominais','Infecções gastrointestinais','Infecções urinárias','Infecções ósseas','Meningite','Sepse','Pneumonia'",
Ampicilina/Sulbactam,"Sinusite','Epiglotite','Pneumonia bacteriana','Infecção do trato urinário','Pielonefrite', 'Peritonite','Infecção óssea','Infecção articular', 'Infecção gonocócica'",
Ceftarolina,"Infecções de pele e partes moles','Pneumonia'",
Amoxacilina/Ac. Clavulânico,"Infecções da pele','Amigdalite','Otite','Sinusite','Broncopneumonia','Pneumonia','Bronquite'",
Piperacilina/Tazobactam,"Infecções graves', 'Infecções do trato respiratório','Infecções do trato respiratório', 'Infecções do trato urinário','Infecções intra-abdominais','Infecções da pele e tecidos moles','Sepse'",
Caspofungina,"Candidíase invasiva', 'Candidíase esofágica','Infecções por fungos'",
Teicoplanina,"Infecções por MRSA', 'Infecções por estafilococos','Infecção da pele e tecidos moles',' Infecção urinária'",
Anidulafungina,"Candidíase invasiva', 'Candidíase esofágica'",
Ampicilina,"Infecções do sistema genitourinário','Infecção do sistema gastrointestinal','Infecção do sistema respiratório'",
Cefazolina,"Infecções de pele','Infecções genitais','Infecções do trato biliar',' Infecções nos ossso e articulações','Infecções urinárias', 'Infecções do trato respiratório'",
Ceftazidima/avibactam,"Infecções de pele','Infecções genitais','Infecções do trato biliar', 'Pneumonia'",
Daptomicina,"Infecções por MRSA', 'Infecções por estafilococos','Infecções da pele e partes moles','Infecção da corrente sanguínea'",
Cefuroxima,"Infecções do trato respiratório', 'Infecções da pele','Amigdalite','Bronquite','Faringite','Gonorreia','Infecção articular', 'Infecção óssea','Infecção urinária'",
Isavuconazol,"Aspergilose invasiva', 'Candidemia', 'Candidíase esofágica'",
Polimixina B,"Infecções graves', 'Infecções do trato urinário'",
Penicilina - Pneumonia,'Pneumonia bacteriana',
Itraconazol,"Infecções fúngicas', 'Candidíase'",
Aztreonam,"'Infecções bacterianas', 'Infecções do trato respiratório'",
